,MSZoning,Street,LandContour,Utilities,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,AgeBeforeRemodel,TotalHouseSizeSF,OverallQual,OverallCond,YearRemodAdd,Foundation,BsmtCond,Heating,HeatingQC,CentralAir,Electrical,TotalKitchens,KitchenQual,TotalRooms,TotalBathRooms,Functional,Fireplaces,GarageType,GarageYrBlt,GarageQual,SaleType,SaleCondition,SalePrice
0,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0,3175,7,5,2003,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,8,4,Typ,0,Attchd,2003.0,TA,WD,Normal,208500
1,RL,Pave,Lvl,AllPub,Gtl,Veenker,Feedr,Norm,1Fam,1Story,0,3282,6,8,1976,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,6,3,Typ,1,Attchd,1976.0,TA,WD,Normal,181500
2,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,2Story,1,3356,7,5,2002,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,4,Typ,1,Attchd,2001.0,TA,WD,Normal,223500
3,RL,Pave,Lvl,AllPub,Gtl,Crawfor,Norm,Norm,1Fam,2Story,55,3422,7,5,1970,BrkTil,Gd,GasA,Gd,Y,SBrkr,1,Gd,7,2,Typ,1,Detchd,1998.0,TA,WD,Abnorml,140000
4,RL,Pave,Lvl,AllPub,Gtl,NoRidge,Norm,Norm,1Fam,2Story,0,4455,8,5,2000,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,9,4,Typ,1,Attchd,2000.0,TA,WD,Normal,250000
5,RL,Pave,Lvl,AllPub,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,2,3028,5,5,1995,Wood,TA,GasA,Ex,Y,SBrkr,1,TA,5,3,Typ,0,Attchd,1993.0,TA,WD,Normal,143000
6,RL,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,1Story,1,4328,8,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,3,Typ,1,Attchd,2004.0,TA,WD,Normal,307000
7,RL,Pave,Lvl,AllPub,Gtl,NWAmes,PosN,Norm,1Fam,2Story,0,4348,7,6,1973,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,7,4,Typ,2,Attchd,1973.0,TA,WD,Normal,200000
8,RM,Pave,Lvl,AllPub,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,19,3489,7,5,1950,BrkTil,TA,GasA,Gd,Y,FuseF,2,TA,8,2,Min1,2,Detchd,1931.0,Fa,WD,Abnorml,129900
9,RL,Pave,Lvl,AllPub,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,11,2277,5,6,1950,BrkTil,TA,GasA,Ex,Y,SBrkr,2,TA,5,2,Typ,2,Attchd,1939.0,Gd,WD,Normal,118000
10,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,1Fam,1Story,0,2464,5,5,1965,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,5,2,Typ,0,Detchd,1965.0,TA,WD,Normal,129500
11,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,2Story,1,4403,9,5,2006,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,11,4,Typ,2,BuiltIn,2005.0,TA,New,Partial,345000
12,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,1Fam,1Story,0,2492,5,6,1962,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,4,2,Typ,0,Detchd,1962.0,TA,WD,Normal,144000
13,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1,4021,7,5,2007,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,2,Typ,1,Attchd,2006.0,TA,New,Partial,279500
14,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,3247,6,5,1960,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,5,3,Typ,1,Attchd,1960.0,TA,WD,Normal,157000
15,RM,Pave,Lvl,AllPub,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,72,2422,7,8,2001,BrkTil,TA,GasA,Ex,Y,FuseA,1,TA,5,1,Typ,0,Detchd,1991.0,TA,WD,Normal,132000
16,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2488,6,7,1970,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,5,2,Typ,1,Attchd,1970.0,TA,WD,Normal,149000
17,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,Duplex,1Story,0,1812,4,5,1967,Slab,NB,GasA,TA,Y,SBrkr,2,TA,6,2,Typ,0,CarPort,1967.0,TA,WD,Normal,90000
18,RL,Pave,Lvl,AllPub,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,0,2906,5,5,2004,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,3,Typ,0,Detchd,2004.0,TA,WD,Normal,159000
19,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,2662,5,6,1965,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,6,1,Min1,0,Attchd,1958.0,TA,COD,Abnorml,139000
20,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,2Story,1,4781,8,5,2006,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,9,4,Typ,1,BuiltIn,2005.0,TA,New,Partial,325300
21,RM,Pave,Bnk,AllPub,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,20,2230,7,7,1950,PConc,TA,GasA,Ex,Y,FuseF,1,Gd,6,1,Typ,1,Attchd,1930.0,TA,WD,Normal,139400
22,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,4436,8,5,2002,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,2,Typ,1,Attchd,2002.0,TA,WD,Normal,230000
23,RM,Pave,Lvl,AllPub,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,0,2882,5,7,1976,PConc,TA,GasA,TA,Y,SBrkr,1,TA,6,2,Typ,1,Attchd,1976.0,TA,WD,Normal,129900
24,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,1Fam,1Story,33,2886,5,8,2001,CBlock,TA,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,1,Attchd,1968.0,TA,WD,Normal,154000
25,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,1Story,0,4112,8,5,2007,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,2,Typ,1,Attchd,2007.0,TA,WD,Normal,256300
26,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,49,2630,5,7,2000,CBlock,TA,GasA,TA,Y,SBrkr,1,Gd,5,2,Typ,0,Detchd,2005.0,TA,WD,Normal,134800
27,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,1Story,1,4230,8,5,2008,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,3,Typ,1,Attchd,2008.0,TA,WD,Normal,306000
28,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,40,3949,5,6,1997,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,6,2,Typ,2,Attchd,1957.0,TA,WD,Normal,207500
29,RM,Pave,Lvl,AllPub,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,23,1416,4,6,1950,BrkTil,TA,GasA,Fa,N,SBrkr,1,Fa,4,1,Typ,0,Detchd,1920.0,Fa,WD,Normal,68500
30,C (all),Pave,Lvl,AllPub,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,30,2442,4,4,1950,BrkTil,TA,GasA,TA,N,SBrkr,1,TA,6,1,Typ,0,Detchd,1920.0,TA,WD,Normal,40000
